id	external_id	external_efo_id
324201	MESH:C564527,OMIM:300360	Orphanet_85289
324501	MESH:C566429,OMIM:602685	
332401	OMIM:613154	Orphanet_588,Orphanet_899
334301	OMIM:300245,MESH:C564553	Orphanet_91411
342101	MESH:C563335,OMIM:601369	Orphanet_90635
346601	MESH:C567389,OMIM:612240	Orphanet_334
352801	OMIM:155240,MESH:C536911	Orphanet_653,Orphanet_99361
354001	OMIM:309549,MESH:C563137	Orphanet_777
356401	MESH:C562806	
357001	OMIM:608027,MESH:C548072	Orphanet_97249
360401	OMIM:167960	
365101	OMIM:300048,MESH:C535532	Orphanet_2978,Orphanet_165655,Orphanet_2301
366401	MESH:C563410,OMIM:600994	Orphanet_90635
369201	MESH:D058674	
377601	MESH:C566951,OMIM:611451	Orphanet_90636
378201	MESH:C538177	
381001	OMIM:613660	Orphanet_1872,Orphanet_791
384201	MESH:C565158,OMIM:121400	Orphanet_53691
390501	OMIM:607514	
394801	MESH:C563975,OMIM:600209	Orphanet_321
396801	MESH:C535748,OMIM:608093	Orphanet_86309
396901	OMIM:310400	Orphanet_596
397701	MESH:C537042,OMIM:300700	Orphanet_998
403101	OMIM:603034,MESH:C566415	Orphanet_590,Orphanet_98915
405201	MESH:C535754,OMIM:608779	Orphanet_79333
406101	MESH:C563721,OMIM:609432	Orphanet_157801
407701	OMIM:611209,MESH:C535756	Orphanet_263508
407801	OMIM:613489	Orphanet_263501
408101	OMIM:613612	Orphanet_263487
408201	MESH:C566987,OMIM:611182	Orphanet_95428
410201	OMIM:600971,MESH:C563418	Orphanet_90636
410801	OMIM:607039,MESH:C564633	Orphanet_90636
424501	MESH:D054069,OMIM:231680	Orphanet_26791
425301	OMIM:300580,MESH:C567594	Orphanet_2020
439701	OMIM:225060,MESH:C536726	Orphanet_3253
449101	OMIM:300259	
452101	MESH:C567379,OMIM:612260	Orphanet_183713
452401	OMIM:188000	Orphanet_268322,Orphanet_168629
453901	OMIM:605362,MESH:C565337	Orphanet_217622
468101	MESH:C567376	
468701	OMIM:612459	
469001	OMIM:612460	
472201	OMIM:613290	
474501	OMIM:605549,MESH:C565322	Orphanet_1872
476001	MESH:C535301,OMIM:605253	Orphanet_99951
479701	OMIM:137950,MESH:C536826	Orphanet_84090
484101	MESH:C537698,OMIM:601553	Orphanet_1573
490601	OMIM:613000	Orphanet_307837
501601	MESH:C535499,OMIM:608105	Orphanet_163727
511401	OMIM:607131,MESH:C564621	Orphanet_166024
527601	OMIM:608765	EFO_0005423
532001	MESH:C567317,OMIM:612421	
534301	MESH:C567473,OMIM:300710	
538601	MESH:C567373,OMIM:612274	Orphanet_244
539301	OMIM:608646,MESH:C535279	Orphanet_244
544501	MESH:C567026,OMIM:611031	Orphanet_98809
547801	OMIM:601067,MESH:C536487	Orphanet_231169,Orphanet_886
549101	OMIM:607624,MESH:C537302	Orphanet_79477,Orphanet_381
551301	MESH:C563961,OMIM:600316	Orphanet_90636
551501	MESH:C567292,OMIM:612469	Orphanet_893
552801	MESH:C567040,OMIM:603585	Orphanet_238459
555301	MESH:C564174,OMIM:143850	
560101	OMIM:603204,MESH:C566400	Orphanet_98784
570001	MESH:C536295,OMIM:608629	Orphanet_220493
573301	OMIM:607060	Orphanet_2828,Orphanet_411602
574801	MESH:C564878	Orphanet_206583
578201	MESH:C563660,OMIM:610828	Orphanet_2162
583301	OMIM:609919,MESH:C563686	EFO_0003832
583401	OMIM:609918,MESH:C563687	
586901	OMIM:214400,MESH:C535419	Orphanet_99948
597801	MESH:C565748,OMIM:604801	Orphanet_98893
601401	OMIM:610504,MESH:C563032	MONDO_0012511
605601	OMIM:254900	Orphanet_163696
611701	OMIM:231050	Orphanet_2623
613001	OMIM:225100	Orphanet_1885
618901	MESH:C567363	
619201	OMIM:608984	
620001	OMIM:274900,MESH:C562771	Orphanet_95716
639401	OMIM:608371,MESH:C564251	
639601	MESH:C563675,OMIM:610361	
640501	MESH:C566419,OMIM:602966	
641701	MESH:C563448,OMIM:600757	
644801	OMIM:300209,MESH:C564567	Orphanet_79022
657201	MESH:C566350,OMIM:603649	Orphanet_1872
667701	OMIM:188025,MESH:C538617	Orphanet_851
670501	OMIM:612650,MESH:C567211	Orphanet_244
677801	OMIM:612881,MESH:C567876	Orphanet_98892,Orphanet_2149
679501	MESH:C567713,OMIM:613193	Orphanet_244
679801	MESH:C567287,OMIM:612518	Orphanet_244
681201	OMIM:607151,MESH:C536992	Orphanet_2573
684401	OMIM:610852,MESH:C567057	Orphanet_244
689301	MESH:C566505,OMIM:609621	Orphanet_51083
700001	MESH:C564291,OMIM:608098	Orphanet_98892,Orphanet_2149
718801	OMIM:613969	
719901	MESH:C567193,OMIM:612717	
720001	MESH:C567259,OMIM:612554	
720401	MESH:C563758,OMIM:609259	
720701	OMIM:610320,MESH:C565202	
720801	OMIM:300613,MESH:C564473	
720901	MESH:C566489,OMIM:609995	
721001	MESH:C566490,OMIM:609994	
722401	MESH:C563759,OMIM:609258	
722601	OMIM:609257,MESH:C563760	
723001	MESH:C563761,OMIM:609256	
723501	OMIM:602082,MESH:C535942	Orphanet_98960
727901	OMIM:160700,MESH:C563541	
728201	MESH:C538197	
731201	MESH:C567725,OMIM:613172	Orphanet_217607,Orphanet_154
732601	OMIM:614166	
734701	OMIM:609400	
735901	OMIM:608391	
736201	OMIM:607836	
740401	MESH:C537607,OMIM:222765	Orphanet_309796,Orphanet_177
743001	OMIM:612306	
743101	OMIM:612858,MESH:C567548	
743301	OMIM:613857	
744501	OMIM:607644,MESH:C564361	Orphanet_1334
744901	OMIM:605544,MESH:C565323	Orphanet_2024
746501	OMIM:146520	Orphanet_90368
747401	OMIM:611010,MESH:C567028	Orphanet_2024
753901	OMIM:602197	
760601	MESH:C567281,OMIM:612527	Orphanet_124
762501	MESH:C567650,OMIM:613308	Orphanet_124
762701	MESH:C567649,OMIM:613309	Orphanet_124
764301	OMIM:610629,MESH:C536355	Orphanet_124
764501	MESH:C536887,OMIM:118100	Orphanet_2345
764601	OMIM:613702	Orphanet_2345
768501	OMIM:608898,MESH:C537251	Orphanet_540
769701	MESH:C564322,OMIM:607841	Orphanet_90635
780501	MESH:C564388,OMIM:607487	Orphanet_217607,Orphanet_154
786101	MESH:C566394,OMIM:603284	Orphanet_221061
786301	OMIM:604391	Orphanet_251347
788801	OMIM:270420,MESH:C562576	Orphanet_103908
792201	OMIM:604364,MESH:C565785	Orphanet_98820
801301	OMIM:607101,MESH:C564624	Orphanet_90636
805401	MESH:C537301,OMIM:214450	Orphanet_79476,Orphanet_381
808301	OMIM:167800,MESH:C537262	Orphanet_676,EFO_0000342
812901	MESH:C536993,OMIM:608796	Orphanet_2573
813001	OMIM:300845	Orphanet_280679
813301	MESH:C536991,OMIM:252350	Orphanet_2573
814701	OMIM:309545,MESH:C564106	Orphanet_85290
815901	OMIM:600060,MESH:C564007	Orphanet_90636
822001	MESH:C535538,OMIM:308500	
826001	MESH:C537157,OMIM:241410	Orphanet_2323
826201	MESH:C563790,OMIM:609129	Orphanet_90635
837201	OMIM:610687,MESH:C565198	Orphanet_607
842101	OMIM:601868,MESH:C566612	Orphanet_90635
843501	OMIM:203650,MESH:C565965	Orphanet_2850
849801	OMIM:613079,MESH:C567543	Orphanet_90636
854101	OMIM:143200,MESH:C536075	Orphanet_898
859201	OMIM:613390	Orphanet_84
864801	MESH:C535540,OMIM:147891	Orphanet_1509
865901	OMIM:607967	
866001	OMIM:607966	
866701	OMIM:607965	
869401	MESH:C537311,OMIM:606937	Orphanet_83472
872601	MESH:C565278,OMIM:605850	Orphanet_243343
873701	MESH:C535742,OMIM:601110	Orphanet_79321
882901	MESH:C535505,OMIM:607078	Orphanet_93311
883501	OMIM:300082	
885001	OMIM:210710,MESH:C537577	Orphanet_2636
885601	MESH:C563797,OMIM:609060	Orphanet_137681
892801	OMIM:301050	Orphanet_88917,Orphanet_63
897901	MESH:C564688,OMIM:606640	
898201	MESH:C566576,OMIM:602099	Orphanet_300605
898301	OMIM:608031,MESH:C564300	
900601	MESH:C567078,OMIM:607154	EFO_0005854
906201	MESH:C565262	
913601	MESH:C535556,OMIM:300262	Orphanet_85273
915401	OMIM:603855	
929501	OMIM:608931	Orphanet_590,Orphanet_98913
934301	MESH:C567520,OMIM:611804	Orphanet_288
934601	OMIM:612690,MESH:C567202	Orphanet_822
944301	OMIM:251255,MESH:C567101	Orphanet_313795
948301	OMIM:608562,MESH:C563909	Orphanet_93334
948801	OMIM:607324,MESH:C564590	Orphanet_93334
952501	OMIM:601941,MESH:C566603	
952801	MESH:C563960,OMIM:600318	
953001	MESH:C565100,OMIM:125852	EFO_0001359
953501	MESH:C563957,OMIM:600321	
953801	OMIM:600319,MESH:C563959	
954001	OMIM:612165,MESH:C567403	Orphanet_791
954301	MESH:C563433,OMIM:600883	
965601	OMIM:300210,MESH:C564566	Orphanet_777
973801	MESH:C564547,OMIM:300271	Orphanet_777
982701	MESH:C566902,OMIM:611631	Orphanet_98819
986801	MESH:C535918,OMIM:115470	Orphanet_195
1002601	MESH:C536614,OMIM:208100	Orphanet_1143
1002901	MESH:C564048,OMIM:314250	Orphanet_53351
1003301	MESH:C564605,OMIM:607221	
1009801	OMIM:613382	Orphanet_294937,Orphanet_93387
1010801	MESH:C567530,OMIM:612357	EFO_0000289
1011001	MESH:C567531,OMIM:612372	
1011601	MESH:C535656,OMIM:606049	
1012801	OMIM:125480,MESH:C565111	
1015301	OMIM:309200,MESH:C564108	
1015801	OMIM:609633,MESH:C566501	
1016001	MESH:C565240,OMIM:606263	
1017001	MESH:C562429,OMIM:174200	Orphanet_93335,Orphanet_93334
1017801	OMIM:300136	
1022101	MESH:C536130,OMIM:606129	Orphanet_124
1026201	OMIM:600231,MESH:C536173	Orphanet_2337
1027101	OMIM:613007,MESH:C567817	
1027901	MESH:C567816,OMIM:613008	
1029001	OMIM:278740,MESH:C564732	Orphanet_910,Orphanet_276261
1030801	MESH:C538057,OMIM:300310	Orphanet_229717,Orphanet_47
1031501	OMIM:613676	Orphanet_808
1034701	MESH:C566968,OMIM:611307	Orphanet_206549
1039301	MESH:D000856,OMIM:606788	EFO_0004215
1042701	OMIM:613559	Orphanet_254930
1043701	OMIM:107200,MESH:C535983	
1047201	MESH:C566236,OMIM:108985	Orphanet_86813
1049001	OMIM:605013,MESH:C537555	
1052601	OMIM:300125	
1066201	OMIM:600332,MESH:C535686	Orphanet_97238
1067201	OMIM:614227	
1070801	MESH:C564915,OMIM:259700	Orphanet_667
1070901	MESH:C537758,OMIM:602722	Orphanet_402041,Orphanet_18
1076601	OMIM:193235	Orphanet_329211
1078401	OMIM:613689	Orphanet_238744
1080701	OMIM:606675,MESH:C564680	
1080801	OMIM:604519,MESH:C565764	
1080901	MESH:C564681,OMIM:606674	
1081001	OMIM:606348,MESH:C565234	
1081601	OMIM:601776	Orphanet_2953
1085901	OMIM:606668,MESH:C564682	
1086001	OMIM:608448,MESH:C563926	EFO_0003767
1086201	MESH:C565353,OMIM:605225	
1086401	OMIM:601458,MESH:C563310	
1090601	MESH:C548069,OMIM:607596	Orphanet_2254
1094901	MESH:C563875,OMIM:608691	
1095001	OMIM:608520,MESH:C563919	
1101201	OMIM:606069,MESH:C537249	Orphanet_139491
1103801	OMIM:603776,MESH:C566337	MONDO_0011369,EFO_0004911
1105001	OMIM:118600,MESH:C563162	
1106001	MESH:C563762,OMIM:609255	
1106701	MESH:C566929,OMIM:611515	
1106901	MESH:C566901,OMIM:611634	
1107401	OMIM:609253,MESH:C563764	
1108001	MESH:C563685,OMIM:609923	Orphanet_791
1113201	MESH:C567380,OMIM:612259	
1114101	OMIM:612567,MESH:C567251	Orphanet_238569
1114401	OMIM:612278,MESH:C567372	EFO_0003767
1114501	MESH:C567377,OMIM:612262	
1114801	MESH:C567252,OMIM:612566	
1115001	OMIM:612354,MESH:C567338	
1115201	MESH:C567217,OMIM:612639	
1115401	MESH:C567326,OMIM:612381	
1115901	OMIM:612288,MESH:C567361	
1116101	MESH:C567327,OMIM:612380	
